deaths,
34451
29986
28504
26949
32456
33818
36523
38230
40180
37766
30349
37960
39528
36005
32911
28599
30506
38978
38922
44151
43517
37953
39124
39625
41281
34645
29747
24198
34320
37399
41303
40213
47315
45208
40283
45145
44133
36535
34667
68535
164838
